source,target
SYN_elongated_r002_c014,SYN_elongated_r003_c014
SYN_elongated_r002_c015,SYN_elongated_r002_c016
SYN_elongated_r002_c015,SYN_elongated_r003_c015
SYN_elongated_r002_c016,SYN_elongated_r002_c017
SYN_elongated_r002_c016,SYN_elongated_r003_c016
SYN_elongated_r002_c017,SYN_elongated_r002_c018
SYN_elongated_r002_c017,SYN_elongated_r003_c017
SYN_elongated_r002_c018,SYN_elongated_r002_c019
SYN_elongated_r002_c018,SYN_elongated_r003_c018
SYN_elongated_r002_c019,SYN_elongated_r002_c020
SYN_elongated_r002_c019,SYN_elongated_r003_c019
SYN_elongated_r002_c020,SYN_elongated_r002_c021
SYN_elongated_r002_c020,SYN_elongated_r003_c020
SYN_elongated_r002_c021,SYN_elongated_r002_c022
SYN_elongated_r002_c021,SYN_elongated_r003_c021
SYN_elongated_r002_c022,SYN_elongated_r002_c023
SYN_elongated_r002_c022,SYN_elongated_r003_c022
SYN_elongated_r002_c023,SYN_elongated_r002_c024
SYN_elongated_r002_c023,SYN_elongated_r003_c023
SYN_elongated_r002_c024,SYN_elongated_r002_c025
SYN_elongated_r002_c024,SYN_elongated_r003_c024
SYN_elongated_r002_c025,SYN_elongated_r002_c026
SYN_elongated_r002_c025,SYN_elongated_r003_c025
SYN_elongated_r002_c026,SYN_elongated_r002_c027
SYN_elongated_r002_c026,SYN_elongated_r003_c026
SYN_elongated_r002_c027,SYN_elongated_r002_c028
SYN_elongated_r002_c027,SYN_elongated_r003_c027
SYN_elongated_r002_c028,SYN_elongated_r003_c028
SYN_elongated_r003_c000,SYN_elongated_r003_c001
SYN_elongated_r003_c000,SYN_elongated_r004_c000
SYN_elongated_r003_c001,SYN_elongated_r003_c002
SYN_elongated_r003_c001,SYN_elongated_r004_c001
SYN_elongated_r003_c002,SYN_elongated_r003_c003
SYN_elongated_r003_c002,SYN_elongated_r004_c002
SYN_elongated_r003_c003,SYN_elongated_r003_c004
SYN_elongated_r003_c003,SYN_elongated_r004_c003
SYN_elongated_r003_c004,SYN_elongated_r003_c005
SYN_elongated_r003_c004,SYN_elongated_r004_c004
SYN_elongated_r003_c005,SYN_elongated_r003_c006
SYN_elongated_r003_c005,SYN_elongated_r004_c005
SYN_elongated_r003_c006,SYN_elongated_r003_c007
SYN_elongated_r003_c006,SYN_elongated_r004_c006
SYN_elongated_r003_c007,SYN_elongated_r003_c008
SYN_elongated_r003_c007,SYN_elongated_r004_c007
SYN_elongated_r003_c008,SYN_elongated_r003_c009
SYN_elongated_r003_c008,SYN_elongated_r004_c008
SYN_elongated_r003_c009,SYN_elongated_r003_c010
SYN_elongated_r003_c009,SYN_elongated_r004_c009
SYN_elongated_r003_c010,SYN_elongated_r003_c011
SYN_elongated_r003_c010,SYN_elongated_r004_c010
SYN_elongated_r003_c011,SYN_elongated_r003_c012
SYN_elongated_r003_c011,SYN_elongated_r004_c011
SYN_elongated_r003_c012,SYN_elongated_r003_c013
SYN_elongated_r003_c012,SYN_elongated_r004_c012
SYN_elongated_r003_c013,SYN_elongated_r003_c014
SYN_elongated_r003_c013,SYN_elongated_r004_c013
SYN_elongated_r003_c014,SYN_elongated_r003_c015
SYN_elongated_r003_c014,SYN_elongated_r004_c014
SYN_elongated_r003_c015,SYN_elongated_r003_c016
SYN_elongated_r003_c015,SYN_elongated_r004_c015
SYN_elongated_r003_c016,SYN_elongated_r003_c017
SYN_elongated_r003_c016,SYN_elongated_r004_c016
SYN_elongated_r003_c017,SYN_elongated_r003_c018
SYN_elongated_r003_c017,SYN_elongated_r004_c017
SYN_elongated_r003_c018,SYN_elongated_r003_c019
SYN_elongated_r003_c018,SYN_elongated_r004_c018
SYN_elongated_r003_c019,SYN_elongated_r003_c020
SYN_elongated_r003_c019,SYN_elongated_r004_c019
SYN_elongated_r003_c020,SYN_elongated_r003_c021
SYN_elongated_r003_c020,SYN_elongated_r004_c020
SYN_elongated_r003_c021,SYN_elongated_r003_c022
SYN_elongated_r003_c021,SYN_elongated_r004_c021
SYN_elongated_r003_c022,SYN_elongated_r003_c023
SYN_elongated_r003_c022,SYN_elongated_r004_c022
SYN_elongated_r003_c023,SYN_elongated_r003_c024
SYN_elongated_r003_c023,SYN_elongated_r004_c023
SYN_elongated_r003_c024,SYN_elongated_r003_c025
SYN_elongated_r003_c024,SYN_elongated_r004_c024
SYN_elongated_r003_c025,SYN_elongated_r003_c026
SYN_elongated_r003_c025,SYN_elongated_r004_c025
SYN_elongated_r003_c026,SYN_elongated_r003_c027
SYN_elongated_r003_c026,SYN_elongated_r004_c026
SYN_elongated_r003_c027,SYN_elongated_r003_c028
SYN_elongated_r003_c027,SYN_elongated_r004_c027
SYN_elongated_r003_c028,SYN_elongated_r004_c028
SYN_elongated_r004_c000,SYN_elongated_r004_c001
SYN_elongated_r004_c000,SYN_elongated_r005_c000
SYN_elongated_r004_c001,SYN_elongated_r004_c002
SYN_elongated_r004_c001,SYN_elongated_r005_c001
SYN_elongated_r004_c002,SYN_elongated_r004_c003
SYN_elongated_r004_c002,SYN_elongated_r005_c002
SYN_elongated_r004_c003,SYN_elongated_r004_c004
SYN_elongated_r004_c003,SYN_elongated_r005_c003
SYN_elongated_r004_c004,SYN_elongated_r004_c005
SYN_elongated_r004_c004,SYN_elongated_r005_c004
SYN_elongated_r004_c005,SYN_elongated_r004_c006
SYN_elongated_r004_c005,SYN_elongated_r005_c005
SYN_elongated_r004_c006,SYN_elongated_r004_c007
SYN_elongated_r004_c006,SYN_elongated_r005_c006
SYN_elongated_r004_c007,SYN_elongated_r004_c008
SYN_elongated_r004_c007,SYN_elongated_r005_c007
SYN_elongated_r004_c008,SYN_elongated_r004_c009
SYN_elongated_r004_c008,SYN_elongated_r005_c008
SYN_elongated_r004_c009,SYN_elongated_r004_c010
SYN_elongated_r004_c009,SYN_elongated_r005_c009
SYN_elongated_r004_c010,SYN_elongated_r004_c011
SYN_elongated_r004_c010,SYN_elongated_r005_c010
SYN_elongated_r004_c011,SYN_elongated_r004_c012
SYN_elongated_r004_c011,SYN_elongated_r005_c011
SYN_elongated_r004_c012,SYN_elongated_r004_c013
SYN_elongated_r004_c012,SYN_elongated_r005_c012
SYN_elongated_r004_c013,SYN_elongated_r004_c014
SYN_elongated_r004_c013,SYN_elongated_r005_c013
SYN_elongated_r004_c014,SYN_elongated_r004_c015
SYN_elongated_r004_c014,SYN_elongated_r005_c014
SYN_elongated_r004_c015,SYN_elongated_r004_c016
SYN_elongated_r004_c015,SYN_elongated_r005_c015
SYN_elongated_r004_c016,SYN_elongated_r004_c017
SYN_elongated_r004_c016,SYN_elongated_r005_c016
SYN_elongated_r004_c017,SYN_elongated_r004_c018
SYN_elongated_r004_c017,SYN_elongated_r005_c017
SYN_elongated_r004_c018,SYN_elongated_r004_c019
SYN_elongated_r004_c018,SYN_elongated_r005_c018
SYN_elongated_r004_c019,SYN_elongated_r004_c020
SYN_elongated_r004_c019,SYN_elongated_r005_c019
SYN_elongated_r004_c020,SYN_elongated_r004_c021
SYN_elongated_r004_c020,SYN_elongated_r005_c020
SYN_elongated_r004_c021,SYN_elongated_r004_c022
SYN_elongated_r004_c021,SYN_elongated_r005_c021
SYN_elongated_r004_c022,SYN_elongated_r004_c023
SYN_elongated_r004_c022,SYN_elongated_r005_c022
SYN_elongated_r004_c023,SYN_elongated_r004_c024
SYN_elongated_r004_c023,SYN_elongated_r005_c023
SYN_elongated_r004_c024,SYN_elongated_r004_c025
SYN_elongated_r004_c024,SYN_elongated_r005_c024
SYN_elongated_r004_c025,SYN_elongated_r004_c026
SYN_elongated_r004_c025,SYN_elongated_r005_c025
SYN_elongated_r004_c026,SYN_elongated_r004_c027
SYN_elongated_r004_c026,SYN_elongated_r005_c026
SYN_elongated_r004_c027,SYN_elongated_r004_c028
SYN_elongated_r004_c027,SYN_elongated_r005_c027
SYN_elongated_r004_c028,SYN_elongated_r005_c028
SYN_elongated_r005_c000,SYN_elongated_r005_c001
SYN_elongated_r005_c000,SYN_elongated_r006_c000
SYN_elongated_r005_c001,SYN_elongated_r005_c002
SYN_elongated_r005_c001,SYN_elongated_r006_c001
SYN_elongated_r005_c002,SYN_elongated_r005_c003
SYN_elongated_r005_c002,SYN_elongated_r006_c002
SYN_elongated_r005_c003,SYN_elongated_r005_c004
SYN_elongated_r005_c003,SYN_elongated_r006_c003
SYN_elongated_r005_c004,SYN_elongated_r005_c005
SYN_elongated_r005_c004,SYN_elongated_r006_c004
SYN_elongated_r005_c005,SYN_elongated_r005_c006
SYN_elongated_r005_c005,SYN_elongated_r006_c005
SYN_elongated_r005_c006,SYN_elongated_r005_c007
SYN_elongated_r005_c006,SYN_elongated_r006_c006
SYN_elongated_r005_c007,SYN_elongated_r005_c008
SYN_elongated_r005_c007,SYN_elongated_r006_c007
SYN_elongated_r005_c008,SYN_elongated_r005_c009
SYN_elongated_r005_c008,SYN_elongated_r006_c008
SYN_elongated_r005_c009,SYN_elongated_r005_c010
SYN_elongated_r005_c009,SYN_elongated_r006_c009
SYN_elongated_r005_c010,SYN_elongated_r005_c011
SYN_elongated_r005_c010,SYN_elongated_r006_c010
SYN_elongated_r005_c011,SYN_elongated_r005_c012
SYN_elongated_r005_c011,SYN_elongated_r006_c011
SYN_elongated_r005_c012,SYN_elongated_r005_c013
SYN_elongated_r005_c012,SYN_elongated_r006_c012
SYN_elongated_r005_c013,SYN_elongated_r005_c014
SYN_elongated_r005_c013,SYN_elongated_r006_c013
SYN_elongated_r005_c014,SYN_elongated_r005_c015
SYN_elongated_r005_c014,SYN_elongated_r006_c014
SYN_elongated_r005_c015,SYN_elongated_r005_c016
SYN_elongated_r005_c015,SYN_elongated_r006_c015
SYN_elongated_r005_c016,SYN_elongated_r005_c017
SYN_elongated_r005_c016,SYN_elongated_r006_c016
SYN_elongated_r005_c017,SYN_elongated_r005_c018
SYN_elongated_r005_c017,SYN_elongated_r006_c017
SYN_elongated_r005_c018,SYN_elongated_r005_c019
SYN_elongated_r005_c018,SYN_elongated_r006_c018
SYN_elongated_r005_c019,SYN_elongated_r005_c020
SYN_elongated_r005_c019,SYN_elongated_r006_c019
SYN_elongated_r005_c020,SYN_elongated_r005_c021
SYN_elongated_r005_c020,SYN_elongated_r006_c020
SYN_elongated_r005_c021,SYN_elongated_r005_c022
SYN_elongated_r005_c021,SYN_elongated_r006_c021
SYN_elongated_r005_c022,SYN_elongated_r005_c023
SYN_elongated_r005_c022,SYN_elongated_r006_c022
SYN_elongated_r005_c023,SYN_elongated_r005_c024
SYN_elongated_r005_c023,SYN_elongated_r006_c023
SYN_elongated_r005_c024,SYN_elongated_r005_c025
SYN_elongated_r005_c024,SYN_elongated_r006_c024
SYN_elongated_r005_c025,SYN_elongated_r005_c026
SYN_elongated_r005_c025,SYN_elongated_r006_c025
SYN_elongated_r005_c026,SYN_elongated_r005_c027
SYN_elongated_r005_c026,SYN_elongated_r006_c026
SYN_elongated_r005_c027,SYN_elongated_r005_c028
SYN_elongated_r005_c027,SYN_elongated_r006_c027
SYN_elongated_r005_c028,SYN_elongated_r006_c028
SYN_elongated_r006_c000,SYN_elongated_r006_c001
SYN_elongated_r006_c001,SYN_elongated_r006_c002
SYN_elongated_r006_c002,SYN_elongated_r006_c003
SYN_elongated_r006_c003,SYN_elongated_r006_c004
SYN_elongated_r006_c004,SYN_elongated_r006_c005
SYN_elongated_r006_c005,SYN_elongated_r006_c006
SYN_elongated_r006_c006,SYN_elongated_r006_c007
SYN_elongated_r006_c007,SYN_elongated_r006_c008
SYN_elongated_r006_c008,SYN_elongated_r006_c009
SYN_elongated_r006_c009,SYN_elongated_r006_c010
SYN_elongated_r006_c010,SYN_elongated_r006_c011
SYN_elongated_r006_c011,SYN_elongated_r006_c012
SYN_elongated_r006_c012,SYN_elongated_r006_c013
SYN_elongated_r006_c013,SYN_elongated_r006_c014
SYN_elongated_r006_c014,SYN_elongated_r006_c015
SYN_elongated_r006_c015,SYN_elongated_r006_c016
SYN_elongated_r006_c016,SYN_elongated_r006_c017
SYN_elongated_r006_c017,SYN_elongated_r006_c018
SYN_elongated_r006_c018,SYN_elongated_r006_c019
SYN_elongated_r006_c019,SYN_elongated_r006_c020
SYN_elongated_r006_c020,SYN_elongated_r006_c021
SYN_elongated_r006_c021,SYN_elongated_r006_c022
SYN_elongated_r006_c022,SYN_elongated_r006_c023
SYN_elongated_r006_c023,SYN_elongated_r006_c024
SYN_elongated_r006_c024,SYN_elongated_r006_c025
SYN_elongated_r006_c025,SYN_elongated_r006_c026
SYN_elongated_r006_c026,SYN_elongated_r006_c027
SYN_elongated_r006_c027,SYN_elongated_r006_c028
