case,method,view,cell_count,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
l_shape,Regular Topology,disk,145,1.4214702444903424,0.0012662821753506863,0.0021261652417676664,2
l_shape,GeoDisk,disk,145,1.4497682941712042,5.654382510531023e-16,8.707749066217776e-14,0
l_shape,Direct Polar,annulus,145,2.8129135063102186,0.0,0.0288414568009543,0
l_shape,Harmonic,annulus,145,1.4182832279566737,0.07159913184911733,1.2857548588135778e-15,0
l_shape,Area-balanced,annulus,145,1.2723675326382557,0.0,2.9388682487167496e-15,0
l_shape,Regular Topology,annulus,145,1.3689255916203282,0.0023803418037575044,0.003214574103813159,2
l_shape,GeoAnnulus,annulus,145,1.4036050055672102,1.6531133899031716e-15,3.65896354133017e-08,0
concave_u,Direct Polar,disk,172,1.8932942523196712,4.2407868828982674e-16,0.15786024190659553,0
concave_u,Harmonic,disk,172,2.3597908278581046,0.007823663590273967,1.1308765021062046e-15,0
concave_u,Area-balanced,disk,172,1.3343995691438344,5.654382510531023e-16,1.696314753159307e-15,0
concave_u,Regular Topology,disk,172,1.8942210473251644,0.004851446836911727,0.007005742078523097,1
concave_u,GeoDisk,disk,172,1.728342370092731,0.009157535690025385,4.0570194513060095e-14,0
concave_u,Direct Polar,annulus,172,3.315596929112926,0.0,0.16402734362435686,0
concave_u,Harmonic,annulus,172,1.933634093554508,0.008234182984544756,9.183963277239842e-16,0
concave_u,Area-balanced,annulus,172,1.5283586002237892,1.6531133899031716e-15,1.102075593268781e-15,0
concave_u,Regular Topology,annulus,172,1.7449410827007887,0.008425923187586688,0.01026287809633227,1
concave_u,GeoAnnulus,annulus,172,1.6084698506340724,0.01302249739420014,6.411320631057659e-08,0
hole,Direct Polar,disk,264,1.3534447786567343,2.8271912552655114e-16,0.04213473027542864,0
hole,Harmonic,disk,264,1.7736937895364138,0.0018532432645066539,8.481573765796535e-16,0
hole,Area-balanced,disk,264,1.153253628198365,0.0,1.5549551903960315e-15,0
hole,Regular Topology,disk,264,1.7604048234205703,0.001259756772864114,0.001916210415769644,2
hole,GeoDisk,disk,264,1.3107032557737615,0.002065583801249209,1.2722360648694803e-15,0
hole,Direct Polar,annulus,264,3.246714298150354,0.0,0.052922412075048525,0
hole,Harmonic,annulus,264,1.6499312713658236,0.03759879022786861,7.347170621791874e-16,0
hole,Area-balanced,annulus,264,1.2816928969760284,3.1225475142615464e-15,0.0,0
hole,Regular Topology,annulus,264,1.8005353046978392,0.0022084349842713988,0.0029169258846592928,2
hole,GeoAnnulus,annulus,264,1.3839131418371011,0.0016917723376886275,9.778032882800344e-08,0
disconnected,Direct Polar,disk,160,0.9762110308876099,0.0,0.07819833758218536,1
disconnected,Harmonic,disk,160,1.118564665964337,0.0007002681222611399,1.4135956276327558e-15,0
disconnected,Area-balanced,disk,160,0.8854248769209668,0.0,1.5549551903960315e-15,0
disconnected,Regular Topology,disk,160,1.887820928039631,0.007012998090349336,0.009583475668944377,3
disconnected,GeoDisk,disk,160,1.0090911697906384,1.4135956276327557e-16,4.396282401937871e-14,0
disconnected,Direct Polar,annulus,160,2.55568248157491,0.001567413193097195,0.07190695842056175,2
disconnected,Harmonic,annulus,160,1.0945885589051174,0.050334528771280994,1.102075593268781e-15,0
disconnected,Area-balanced,annulus,160,1.008399688465235,0.0,1.8367926554479684e-15,0
disconnected,Regular Topology,annulus,160,1.5901000083959316,0.011923041265097127,0.013944840631018068,3
disconnected,GeoAnnulus,annulus,160,0.9423487919425168,1.8367926554479685e-16,4.8790176493490857e-08,0
